HCMtranscript no.	"Accession no (human,chimp,mouse)"	LocusLink ID	gene symbol	Panther Molecular function	Panther Biological Process	P-value model 1 (dN/dS) human (two-sided)	P-value model 1 (dN/dS) chimp (two-sided)	"P-value model 1 (dN/dS) human (one-sided, test for pos selection)"	"P-value model 1 (dN/dS) chimp (one-sided, test for pos selection)"	dS_human	dN_human	dN/dS human	dS_chimp	dN_chimp	dN/dS chimp	% GC	% ALU	% MIR	% SINEs	% L1	% L2	% LINEs	% MaLR	% ERVL	% ERV1	% ERVK	% LTR elements	% MER1	% MER2	% DNA Elements	% Mariner	% T2	% Tc2	% Low Complexity	% Satellite	% Simple	% Unknown	% rRNA	% scRNA	% snRNA	% tRNA	% RNA elements	Model 2 (M2) p-value human	Model 2 (M2) p-value chimp	M2_LR	M2_L_3	M2_Mu_3	M2_p0_3	M2_p1_3	M2_L_2	M2_Mu_2	M2_P0_2	local cM/Mb (from Kong et al.)	Chromosome (Chr)	Gene Start on Chr
HCM0228	"AY399450,AY399451,AY399452"	4113	MAGEB2	Molecular function unknown	Gametogenesis->Developmental processes;Other oncogenesis->Oncogenesis	3.25E-01	2.28E-01	1.00E+00	2.28E-01	9.80E-03	4.66E-03	4.76E-01	6.03E-03	1.57E-02	2.60E+00	41	6.09	2.44	8.53	8.25	1.47	9.72	1.34	1.8	3.88	0.95	7.97	1.65	1.11	2.76	0.1	0	0	0.45	0	0.55	0	0	0	0	0	0	4.04E-01	4.35E-01	2.94E-02	-1118.867	1.34E+00	4.44E-01	2.89E+00	-1118.896	1.34E+00	1.46E-01	1.22	X	28069806
HCM0397	"AY399957,AY399958,AY399959"	3273	HRG	Other miscellaneous function protein->Miscellaneous function	Blood clotting	9.04E-02	4.79E-01	1.00E+00	4.79E-01	1.85E-02	1.85E-06	1.00E-04	1.55E-05	4.05E-05	2.61E+00	43	10.2	4.42	14.62	8.88	1.59	10.47	2.34	1.22	6.33	0	9.89	0.7	0	0.7	0	0	0	0.22	0	1.58	0	0	0	0	0	0	1.00E+00	7.32E-02	-3.23E-04	-375.8033	9.30E-01	4.70E+02	1.00E+03	-375.8029	9.30E-01	4.70E-01	2.35	3	190840925
HCM0787	"AY401127,AY401128,AY401129"	92106		Molecular function unclassified	Ferredoxin metabolism->Electron transport	4.07E-02	4.49E-01	1.00E+00	4.49E-01	1.53E-02	1.44E-03	9.41E-02	6.17E-04	1.64E-03	2.66E+00	42	5.84	3.53	9.37	10.18	6.01	16.19	2.4	1.31	0.08	0	3.79	2.04	1.1	3.14	0	0	0	0.58	0	0.21	0	0	0	0	0	0	3.37E-01	1.00E+00	8.84E-02	-1795.418	6.65E-01	2.97E+00	2.67E+00	-1795.507	6.64E-01	1.10E+00	1.33	3	19391930
HCM1341	"AY402789,AY402790,AY402791"	55872		Molecular function unclassified	Biological process unclassified	2.09E-01	4.59E-01	1.00E+00	4.59E-01	1.01E-02	2.76E-03	2.73E-01	5.38E-04	1.46E-03	2.71E+00	39	14.55	1.61	16.16	23.22	2.46	25.68	1.11	0	3.33	0.39	4.83	1.71	0.56	2.27	0	0	0	0.63	0	0.27	0	0	0	0.02	0	0.02	6.45E-02	4.66E-01	1.15E+00	-1618.728	5.71E-01	3.75E-01	7.92E-02	-1619.88	5.68E-01	4.27E+00	1.32	8	27805648
HCM2123	"AY405135,AY405136,AY405137"	84750	FUT10	Molecular function unclassified	Biological process unclassified	1.80E-01	3.79E-01	1.00E+00	3.79E-01	5.30E-03	1.20E-03	2.26E-01	8.39E-04	2.33E-03	2.78E+00	44	29.18	1.04	30.22	6.93	2.06	8.99	3.12	1.2	1.53	0	5.85	0.92	0.22	1.14	0	0	0.61	0.82	0	0.75	0	0	0	0	0	0	2.34E-01	2.51E-01	2.64E-01	-2315.944	8.03E-01	1.13E+00	3.37E-01	-2316.208	8.01E-01	3.26E+00	0.34	8	33374277
HCM6222	"AY417432,AY417433,AY417434"	117143		Molecular function unclassified	Biological process unclassified	4.28E-01	4.91E-01	1.00E+00	4.91E-01	4.99E-03	4.99E-07	1.00E-04	8.23E-04	2.32E-03	2.82E+00	43	8.03	2.32	10.35	5.86	4.41	10.27	6.76	1.19	4.96	0	12.91	1.99	0.17	2.16	0	0	0	0.52	0	0.34	0	0	0	0	0	0	1.00E+00	1.94E-01	-3.76E-04	-1065.85	5.43E-01	9.99E+02	4.44E+00	-1065.849	5.43E-01	2.25E+02	1.51	1	141321530
HCM5106	"AY414084,AY414085,AY414086"	90799		Molecular function unclassified	Biological process unclassified	3.95E-01	1.88E-01	1.00E+00	1.88E-01	8.83E-03	6.73E-03	7.62E-01	3.62E-03	1.06E-02	2.93E+00	41	20.46	1.05	21.51	7.01	1.67	8.68	1.47	0.06	0	1.03	2.56	0.63	0.58	1.21	0	0	0	0.25	0	0.36	0	0	0	0	0.07	0.07	1.55E-01	4.51E-01	5.15E-01	-1843.302	1.04E+00	2.34E-01	4.49E-01	-1843.817	1.04E+00	4.87E-01	0.43	17	64215231
HCM1995	"AY404751,AY404752,AY404753"	56616		Other miscellaneous function protein->Miscellaneous function	Biological process unclassified	1.56E-01	4.01E-01	1.00E+00	4.01E-01	8.98E-03	8.98E-07	1.00E-04	1.39E-03	4.11E-03	2.96E+00	49	26.14	1.52	27.66	4.26	1.54	5.8	0.53	0.41	0.46	0	1.4	1.82	0.6	2.42	0	0	0	0.31	0	0.43	0	0	0	0	0	0	1.00E+00	3.69E-01	-5.57E-04	-1332.437	7.42E-01	1.00E+03	4.41E+02	-1332.436	7.42E-01	2.26E+00	0.91	12	122272624
HCM0706	"AY400884,AY400885,AY400886"	90362		Molecular function unclassified	Biological process unclassified	1.99E-01	4.31E-01	1.00E+00	4.31E-01	5.11E-03	1.15E-03	2.25E-01	1.29E-05	3.84E-05	2.98E+00	40	5.76	2.83	8.59	3.94	2.04	5.98	2.39	0	0.85	0	3.24	0.38	1.75	2.13	0	0	0	0.44	0	0.33	0	0	0	0	0	0	1.01E-01	4.10E-01	8.14E-01	-1755.899	4.18E-01	5.01E-01	1.00E-04	-1756.713	4.18E-01	1.00E+03	0.91	8	56448633
HCM2445	"AY406101,AY406102,AY406103"			Molecular function unclassified	Biological process unclassified	1.50E-01	4.97E-01	1.00E+00	4.97E-01	3.09E-02	1.62E-02	5.24E-01	1.38E-05	4.14E-05	3.00E+00	40	3.15	2.58	5.73	15.49	5.93	21.42	4.02	0.52	3.64	1.03	9.21	2.24	0	2.24	0.08	0	0	0.71	0	0.33	0	0	0	0	0	0	2.21E-01	4.60E-01	2.95E-01	-1236.802	1.29E+00	4.40E-01	5.89E-01	-1237.097	1.26E+00	6.62E-01	0.88	3	133394280
HCM0165	"AY399261,AY399262,AY399263"	8878	SQSTM1	Molecular function unclassified	T-cell mediated immunity->Immunity and defense;Protein metabolism and modification	6.83E-04	4.43E-01	1.00E+00	4.43E-01	3.30E-02	3.30E-06	1.00E-04	1.34E-05	4.02E-05	3.00E+00	54	19.56	0.42	19.98	5.22	2.49	7.71	1.18	0.27	0.77	0	2.22	0.37	1.23	1.6	0	0	0	0.17	0	0.43	0	0	0.09	0	0	0.09	4.63E-01	4.57E-01	4.34E-03	-1319.09	5.36E-01	1.00E+03	1.00E-04	-1319.095	5.35E-01	1.00E+03	2.98	5	182617975
HCM1596	"AY403554,AY403555,AY403556"	3965	LGALS9	Other signaling molecule->Signaling molecule	Induction of apoptosis->Apoptosis	1.47E-02	4.66E-01	1.00E+00	4.66E-01	4.31E-02	4.04E-03	9.37E-02	6.62E-04	2.05E-03	3.10E+00	51	7.67	5.1	12.77	3.67	2.48	6.15	1.14	0	0.79	3.82	5.75	2.71	1.7	4.41	0	0	0	0.02	0	0.2	0	0	0	0	0	0	1.00E+00	4.41E-02	-4.68E-04	-1329.814	1.01E+00	9.96E+02	8.23E+02	-1329.813	1.01E+00	1.21E+00	0.61	17	25146025
HCM0791	"AY401139,AY401140,AY401141"			Other receptor->Receptor	Cell adhesion;Synaptic transmission->Neuronal activities;Cell adhesion-mediated signaling->Cell communication->Signal transduction	4.40E-01	4.98E-01	1.00E+00	4.98E-01	5.34E-03	5.34E-07	1.00E-04	5.67E-03	1.76E-02	3.10E+00	43	5.22	6.71	11.93	2.37	3.05	5.42	2.74	0.72	0.42	0	3.88	2.22	0	2.22	0	0	0	0.36	0	0.61	0	0	0	0	0	0	1.00E+00	1.00E+00	-2.97E-04	-843.0682	5.57E-01	1.00E+03	3.63E+02	-843.0679	5.57E-01	2.77E+00	1.13	14	59029638
HCM5230	"AY414456,AY414457,AY414458"	1014	CDH16	Cadherin->Cell adhesion molecule	Cell adhesion;Cell adhesion-mediated signaling->Cell communication->Signal transduction	1.00E-01	3.94E-01	1.00E+00	3.94E-01	1.55E-02	4.16E-03	2.68E-01	1.03E-03	3.27E-03	3.17E+00	52	23.68	2.61	26.29	2.46	2.19	4.65	1.05	0.45	0.83	0.98	3.31	0.8	1.12	1.92	0	0	0	0.42	0	0.91	0	0	0	0	0	0	1.70E-01	3.64E-01	4.56E-01	-2674.144	9.01E-01	8.97E-01	7.47E-01	-2674.6	8.97E-01	1.15E+00	0.5	16	55480809
HCM6166	"AY417264,AY417265,AY417266"	5279	PIGC	Glycosyltransferase->Transferase	"Phospholipid metabolism->Lipid, fatty acid and steroid metabolism"	1.15E-01	4.43E-01	1.00E+00	4.43E-01	2.02E-02	8.18E-03	4.05E-01	1.30E-05	4.15E-05	3.19E+00	40	4.77	2.03	6.8	4.85	6.59	11.44	0.05	0	1.13	0	1.18	0.86	2.21	3.07	0	0	0	0.56	0	0.46	0	0	0	0	0	0	2.39E-03	2.20E-01	3.98E+00	-1294.723	6.56E-01	2.07E-01	9.18E-03	-1298.705	6.36E-01	1.06E+01	0.49	1	146907612
HCM3174	"AY408288,AY408289,AY408290"	6524	SLC5A2	Sugar transporter->Transporter;Cation transporter->Transporter	Cation transport->Ion transport->Transport	1.93E-02	3.65E-01	1.00E+00	3.65E-01	6.56E-03	6.56E-07	1.00E-04	6.39E-04	2.06E-03	3.22E+00	50	20.78	2.13	22.91	5.41	2.92	8.33	1.97	0.39	0.28	2.04	4.68	1.49	1.26	2.75	0.09	0	0	0.54	0	0.73	0	0	0	0	0	0	1.00E+00	1.38E-01	-1.05E-03	-3371.934	7.49E-01	1.00E+03	4.73E+01	-3371.933	7.49E-01	2.11E+01	2.51	22	34602362
HCM6328	"AY417750,AY417751,AY417752"	10752	CHL1	CAM family adhesion molecule->Cell adhesion molecule	Cell adhesion;Neurogenesis->Ectoderm development->Developmental processes;Cell adhesion-mediated signaling->Cell communication->Signal transduction	3.21E-03	4.57E-01	1.00E+00	4.57E-01	1.90E-02	1.90E-06	1.00E-04	4.04E-04	1.33E-03	3.29E+00	36	4.66	3.22	7.88	4.31	2.78	7.09	2.24	0.28	1.31	0	3.83	1.98	0	1.98	0.14	0	0	0.89	0	0.54	0	0	0	0	0	0	1.00E+00	1.00E+00	-2.03E-03	-1931.743	7.84E-01	1.00E+03	3.15E+02	-1931.741	7.84E-01	3.17E+00	2.96	3	1103664
HCM6730	"AY418956,AY418957,AY418958"	2038	EPB42	Other cytoskeletal proteins->Cytoskeletal protein	Cell structure->Cell structure and motility	1.25E-01	1.63E-01	1.00E+00	1.63E-01	4.57E-03	7.93E-04	1.74E-01	1.80E-03	6.09E-03	3.38E+00	45	11.38	3	14.38	9.15	5.78	14.93	1.71	0.42	4.28	0	6.41	1.76	0.49	2.25	0.05	0	0	0.36	0	0.99	0	0	0.09	0	0	0.09	1.00E+00	1.00E+00	-3.79E-04	-3743.559	8.78E-01	5.98E+02	8.06E+02	-3743.558	8.78E-01	7.42E-01	0.41	15	21893829
HCM4030	"AY410856,AY410857,AY410858"			Molecular function unclassified	Biological process unclassified	3.32E-02	4.83E-01	1.00E+00	4.83E-01	3.97E-02	3.97E-06	1.00E-04	4.45E-04	1.51E-03	3.39E+00	46	17.94	2.32	20.26	10.52	6.52	17.04	1.7	0.22	1.62	0	3.54	0.91	1.11	2.02	0.12	0	0	0.36	0	0.52	0	0	0	0	0	0	1.00E+00	4.43E-01	-3.39E-03	-1732.816	1.16E+00	9.99E+02	4.96E+02	-1732.813	1.16E+00	2.04E+00	0.88	1	40348912
HCM0681	"AY400809,AY400810,AY400811"	84197		Molecular function unclassified	Biological process unclassified	1.88E-02	4.55E-01	1.00E+00	4.55E-01	1.45E-02	1.45E-06	1.00E-04	3.84E-04	1.35E-03	3.52E+00	44	17.98	0.92	18.9	14.13	2.9	17.03	0.11	0	3.26	0.15	3.52	1.14	0.46	1.6	0	0	0	0.29	0	0.38	0	0.05	0	0.14	0	0.19	1.00E+00	3.83E-01	-1.75E-03	-1998.556	9.26E-01	9.96E+02	3.00E+02	-1998.554	9.27E-01	3.35E+00	0.34	8	42917580
HCM1012	"AY401802,AY401803,AY401804"	6361	CCL17	Molecular function unclassified	Biological process unclassified	8.53E-02	4.80E-01	1.00E+00	4.80E-01	2.53E-02	2.53E-06	1.00E-04	1.16E-05	4.10E-05	3.53E+00	49	16.86	4.68	21.54	4.65	4.59	9.24	2.21	1.01	1.75	1.02	5.99	1.35	0.46	1.81	0	0	0.26	0.32	0	2.96	0	0	0	0	0	0	1.00E+00	2.01E-03	-4.61E-03	-352.8053	1.77E+00	3.30E+01	7.24E+01	-352.8007	1.77E+00	4.55E-01	1.56	16	45054505
HCM3262	"AY408552,AY408553,AY408554"	54998		Molecular function unclassified	Biological process unclassified	3.29E-01	4.91E-01	1.00E+00	4.91E-01	9.91E-03	5.64E-03	5.69E-01	1.11E-05	4.00E-05	3.60E+00	58	19.55	0.12	19.67	0.28	0.4	0.68	0	0.67	4.49	0.92	6.08	0.37	0	0.37	0	0	0	0.75	0	3.74	0	0	0	0	0	0	1.00E+00	1.00E+00	-1.78E-04	-973.7925	1.45E+00	9.99E+02	7.95E+02	-973.7923	1.45E+00	1.26E+00	3.35	1	296448
HCM2029	"AY404853,AY404854,AY404855"	10254	STAM2	Other signaling molecule->Signaling molecule	Signal transduction	2.21E-01	4.67E-01	1.00E+00	4.67E-01	4.98E-03	1.64E-03	3.29E-01	1.14E-05	4.12E-05	3.61E+00	41	20.64	0.8	21.44	9.46	1.11	10.57	2	0	1.14	3.37	6.51	0.78	1.23	2.01	0.05	0	0	0.44	0	0.33	0	0	0	0	0	0	3.92E-01	1.00E+00	3.78E-02	-1444.33	5.59E-01	2.11E+00	7.83E-01	-1444.368	5.58E-01	2.64E+00	0.53	2	149466236
HCM1301	"AY402669,AY402670,AY402671"			Molecular function unclassified	Biological process unclassified	2.30E-02	2.28E-01	1.00E+00	2.28E-01	1.52E-02	6.68E-04	4.39E-02	1.89E-04	6.96E-04	3.68E+00	36	9.42	0.86	10.28	13.93	4.15	18.08	1.65	0.26	8.14	0	10.05	1.32	2.88	4.2	0	0	0	0.77	0	0.93	0	0	0	0	0	0	3.20E-01	1.00E+00	1.09E-01	-3423.711	5.25E-01	9.56E+00	1.00E-04	-3423.82	5.25E-01	1.00E+03	0.46	3	164488014
HCM6956	"AY419634,AY419635,AY419636"	9985		Molecular function unknown	Meiosis->Developmental processes	3.14E-02	2.88E-01	1.00E+00	2.88E-01	1.49E-02	8.99E-04	6.03E-02	1.51E-03	5.87E-03	3.89E+00	51	22.79	1.8	24.59	1.82	3.64	5.46	0.76	0	0	1.02	1.78	2.27	1.04	3.31	0	0	0	0.15	0	0.42	0	0.12	0	0	0	0.12	1.00E+00	3.81E-01	-5.22E-05	-1716.017	8.14E-01	8.91E+01	1.02E+02	-1716.017	8.14E-01	8.74E-01	1.89	14	4682167
HCM0863	"AY401355,AY401356,AY401357"	55281		Molecular function unclassified	Biological process unclassified	4.22E-01	4.74E-01	1.00E+00	4.74E-01	1.53E-02	1.29E-02	8.43E-01	1.05E-05	4.09E-05	3.90E+00	40	4	1.34	5.34	19.93	3.37	23.3	1.68	0	3.53	0	5.21	0.27	1.59	1.86	0	0	0	0.39	0	0.27	0	0	0	0	0	0	1.69E-01	4.01E-01	4.60E-01	-1137.391	1.17E+00	1.69E-01	3.41E-01	-1137.851	1.15E+00	4.32E-01	0.89	7	133220365
HCM1815	"AY404211,AY404212,AY404213"	1233	CCR4	G-protein coupled receptor->Receptor	Cell motility->Cell structure and motility;Cytokine/chemokine mediated immunity->Immunity and defense;Calcium mediated signaling->Intracellular signaling cascade->Signal transduction;G-protein mediated signaling->Cell surface receptor mediated signal transduction->Signal transduction;Cytokine and chemokine mediated signaling pathway->Cell surface receptor mediated signal transduction->Signal transduction	2.62E-01	2.05E-01	1.00E+00	2.05E-01	1.45E-02	1.45E-06	1.00E-04	9.93E-06	4.05E-05	4.08E+00	45	16.41	1.86	18.27	5.39	1.49	6.88	2.79	3.1	2.62	0	8.51	0.7	0.12	0.82	0	0	0	0.65	0	0.07	0	0	0	0	0	0	1.00E+00	1.00E+00	-1.12E-03	-1563.04	8.74E-01	1.00E+03	6.40E+00	-1563.039	8.74E-01	1.56E+02	1.18	3	36499174
HCM5225	"AY414441,AY414442,AY414443"	55813		Molecular function unknown	Biological process unclassified	4.91E-01	9.29E-02	1.00E+00	9.29E-02	8.70E-03	2.77E-03	3.18E-01	9.83E-06	4.21E-05	4.28E+00	46	38.54	1.5	40.04	5.26	3.63	8.89	0.89	0.36	0.66	0	1.91	0.78	0.2	0.98	0.06	0	0	0.3	0	0.35	0	0	0	0	0	0	6.87E-02	9.35E-04	1.10E+00	-2182.393	6.63E-01	2.11E-01	9.42E-02	-2183.496	6.60E-01	2.17E+00	2.11	17	29506078
HCM5003	"AY413775,AY413776,AY413777"	23473	CAPN7	Cysteine-type protease->Protease	Proteolysis->Protein metabolism and modification	8.87E-02	2.90E-01	1.00E+00	2.90E-01	1.11E-02	1.91E-03	1.72E-01	9.44E-06	4.20E-05	4.45E+00	41	11.52	2.53	14.05	6.41	3.68	10.09	1.46	0	0.38	0	1.84	2.6	2.21	4.81	0	0.6	0	0.38	0	0.55	0	0	0	0	0.07	0.07	1.56E-01	1.00E+00	5.12E-01	-2406.838	4.20E-01	1.85E+00	8.30E-02	-2407.35	4.18E-01	1.83E+01	1.42	3	18331315
HCM0705	"AY400881,AY400882,AY400883"			Molecular function unclassified	Biological process unclassified	3.55E-01	4.77E-01	1.00E+00	4.77E-01	7.23E-03	4.54E-03	6.28E-01	8.84E-06	4.10E-05	4.64E+00	46	2.74	5.18	7.92	6.26	7.91	14.17	3.7	0.75	0.89	0.95	6.29	3.08	0.88	3.96	0	0	0	0.41	0	2.56	0	0	0	0	0	0	2.00E-01	1.00E+00	3.55E-01	-1329.024	2.28E+00	2.13E-01	1.51E-01	-1329.379	2.25E+00	1.32E+00	2.02	14	75284252
HCM1075	"AY401991,AY401992,AY401993"			Molecular function unknown	Biological process unclassified	3.61E-02	4.44E-01	1.00E+00	4.44E-01	3.15E-02	3.15E-06	1.00E-04	3.08E-04	1.44E-03	4.68E+00	47	39.8	2.23	42.03	6.1	3.02	9.12	1.47	0.51	0.61	0	2.59	0.41	0.8	1.21	0.07	0	0	0.34	0	0.88	0	0	0	0.06	0	0.06	1.00E+00	3.78E-01	-1.66E-03	-1235.023	3.58E-01	1.00E+03	1.53E+01	-1235.021	3.58E-01	6.54E+01	0.79	17	40643457
HCM4595	"AY412551,AY412552,AY412553"			Molecular function unclassified	Biological process unclassified	2.54E-01	1.59E-01	1.00E+00	1.59E-01	7.52E-03	4.34E-03	5.77E-01	1.17E-03	5.51E-03	4.71E+00	42	4.66	3.26	7.92	11.99	3.64	15.63	0	0.22	0	0	0.22	2.21	1.72	3.93	0	0	0.47	0.45	0	0.27	0	0	0	0	0	0	1.58E-01	1.45E-02	5.02E-01	-4169.425	8.87E-01	2.27E-01	6.38E-01	-4169.927	8.83E-01	3.37E-01	1.06	10	99952390
HCM5936	"AY416574,AY416575,AY416576"	4124	MAN2A1	Glycosidase->Hydrolase	Biological process unclassified	2.76E-03	4.15E-01	1.00E+00	4.15E-01	1.13E-02	4.97E-04	4.40E-02	1.06E-04	5.02E-04	4.74E+00	35	6.1	1.64	7.74	12.17	2.36	14.53	1.8	0	0.92	0	2.72	0.59	0.88	1.47	0.84	0	0.07	0.88	0	0.48	0	0	0	0	0	0	1.00E+00	3.45E-01	-4.13E-03	-5315.062	8.32E-01	9.87E+02	4.41E+02	-5315.058	8.30E-01	2.21E+00	0.74	5	110194075
HCM7277	"AY420597,AY420598,AY420599"	3053	SERPIND1	Serine-type protease inhibitor->Protease inhibitor->Select regulatory molecule	Blood clotting	1.17E-01	2.75E-01	1.00E+00	2.75E-01	1.19E-02	1.19E-06	1.00E-04	2.09E-04	1.01E-03	4.83E+00	47	23.95	2.66	26.61	3.86	1.27	5.13	0.5	0	0.47	0.53	1.5	0.74	0.04	0.78	0	0	0	0.3	0	0.31	0	0	0	0.03	0	0.03	1.00E+00	1.77E-01	-1.21E-03	-2534.607	7.40E-01	1.00E+03	2.63E+02	-2534.606	7.40E-01	3.80E+00	2.06	22	5203948
HCM2520	"AY406326,AY406327,AY406328"	1500	CTNND1	Other cell adhesion molecule->Cell adhesion molecule	Cell adhesion;Cell adhesion-mediated signaling->Cell communication->Signal transduction	2.59E-01	4.53E-01	1.00E+00	4.53E-01	2.79E-03	1.09E-03	3.91E-01	8.26E-06	4.34E-05	5.25E+00	43	21.41	2.89	24.3	3.9	2.3	6.2	0.37	0	0.56	0	0.93	2.19	1.04	3.23	0.06	0	0	0.44	0	0.42	0	0.04	0	0	0	0.04	2.92E-01	4.62E-01	1.50E-01	-2081.235	3.54E-01	1.61E+00	4.16E-02	-2081.385	3.53E-01	3.10E+01	0.14	11	53338462
HCM7590	"AY421536,AY421537,AY421538"			Molecular function unknown	Cell cycle	9.80E-02	1.93E-01	1.00E+00	1.93E-01	3.37E-02	9.82E-03	2.91E-01	7.92E-06	4.25E-05	5.37E+00	44	31.68	1.64	33.32	7.28	2.67	9.95	2.25	0.47	1.57	0	4.29	1.73	0.28	2.01	0	0	0	0.61	0	1.18	0	0	0	0.1	0.04	0.14	7.73E-02	4.28E-01	1.01E+00	-1026.342	5.35E-01	8.83E-01	2.44E-01	-1027.355	5.24E-01	2.93E+00	0.34	8	33470834
HCM1491	"AY403239,AY403240,AY403241"			Extracellular matrix structural protein->Extracellular matrix	Skeletal development->Mesoderm development->Developmental processes	8.12E-02	4.69E-01	1.00E+00	4.69E-01	6.63E-03	1.21E-03	1.83E-01	7.74E-06	4.33E-05	5.59E+00	39	3.78	4.63	8.41	15.98	4.72	20.7	2.31	1.4	0	0	3.71	1.86	0	1.86	0	0	0	0.22	0	0.27	0	0	0	0	0	0	1.00E+00	4.21E-01	-8.88E-04	-2042.551	6.70E-01	1.00E+03	1.53E+02	-2042.551	6.70E-01	6.54E+00	0.88	3	133698135
HCM0643	"AY400695,AY400696,AY400697"	63898		Molecular function unclassified	Biological process unclassified	1.39E-02	2.90E-01	1.00E+00	2.90E-01	2.69E-02	8.20E-04	3.05E-02	1.37E-03	7.69E-03	5.61E+00	43	13.58	3.84	17.42	6.63	1.81	8.44	2.85	0.86	0	0	3.71	2.1	0.92	3.02	0.09	0	0	0.37	0	0.38	0	0	0	0	0.04	0.04	1.00E+00	1.00E+00	-1.97E-04	-1025.326	1.17E+00	1.00E+03	1.00E+03	-1025.326	1.17E+00	1.00E+00	1.62	8	19312567
HCM1020	"AY401826,AY401827,AY401828"	152992		Molecular function unclassified	Biological process unclassified	2.58E-01	4.54E-01	1.00E+00	4.54E-01	1.24E-02	6.03E-03	4.86E-01	2.04E-04	1.15E-03	5.64E+00	50	8.32	1.82	10.14	2.6	1.45	4.05	2.04	0.2	15.79	0.56	18.59	0.72	5.18	5.9	0	0	0	0.27	0	0.46	0	0	0	0	0	0	1.68E-02	4.43E-01	2.26E+00	-2551.498	1.38E+00	1.52E-01	9.82E-02	-2553.756	1.36E+00	1.45E+00	2.45	4	8370256
HCM5414	"AY415008,AY415009,AY415010"	727	C5	Complement component->Defense/immunity protein	Complement-mediated immunity->Immunity and defense	3.16E-02	2.11E-01	1.00E+00	2.11E-01	6.58E-03	8.34E-04	1.27E-01	5.83E-04	3.43E-03	5.88E+00	38	13.5	5.22	18.72	7.95	5.9	13.85	1.63	0	0.41	0	2.04	2.3	0.65	2.95	0	0	0	1.04	0	1.24	0	0	0	0	0	0	2.30E-01	1.00E+00	2.72E-01	-6446.157	8.15E-01	1.52E+00	1.38E+00	-6446.429	8.14E-01	1.09E+00	0.92	9	96981070
HCM2216	"AY405414,AY405415,AY405416"	57115		Other receptor->Receptor	Complement-mediated immunity->Immunity and defense	3.91E-01	4.74E-01	1.00E+00	4.74E-01	4.82E-03	3.41E-03	7.07E-01	7.01E-06	4.27E-05	6.09E+00	45	5.98	2.88	8.86	13.25	6.02	19.27	1.12	0.89	2.96	0	4.97	2.09	0	2.09	0	0	0	0.51	0	0.38	0	0	0	0.1	0	0.1	3.55E-01	1.00E+00	6.93E-02	-1648.511	8.81E-01	9.56E-01	1.18E+00	-1648.581	8.79E-01	7.98E-01	1	1	127585237
HCM7238	"AY420480,AY420481,AY420482"	2834	GPR10	G-protein coupled receptor->Receptor	Synaptic transmission->Neuronal activities;G-protein mediated signaling->Cell surface receptor mediated signal transduction->Signal transduction	3.53E-02	4.54E-01	1.00E+00	4.54E-01	1.59E-02	6.00E-04	3.77E-02	3.11E-04	1.98E-03	6.37E+00	45	7.65	3.25	10.9	9.22	1.75	10.97	4.27	3.28	3.44	1.51	12.5	1.94	0.28	2.22	0.19	0	0	0.49	0	0.51	0	0	0	0	0	0	2.86E-01	5.55E-02	1.60E-01	-1646.189	6.64E-01	3.87E+00	1.00E-04	-1646.349	6.63E-01	1.00E+03	1.67	10	120350459
HCM2275	"AY405591,AY405592,AY405593"	79987		Molecular function unclassified	Biological process unclassified	1.15E-01	3.65E-01	1.00E+00	3.65E-01	5.37E-03	1.97E-03	3.67E-01	7.72E-05	5.06E-04	6.55E+00	38	9.18	3.01	12.19	9.13	5.7	14.83	2.56	1.4	0.5	0	4.46	1.14	0.16	1.3	0	0	0.09	0.72	0	0.82	0	0	0	0	0	0	3.00E-02	4.29E-01	1.77E+00	-5355.929	6.76E-01	4.30E-01	1.88E-01	-5357.698	6.74E-01	2.22E+00	1.13	9	86224261
HCM6232	"AY417462,AY417463,AY417464"	51573		Phosphodiesterase->Hydrolase	G-protein mediated signaling->Cell surface receptor mediated signal transduction->Signal transduction	8.14E-02	4.92E-01	1.00E+00	4.92E-01	7.48E-03	1.41E-03	1.89E-01	6.62E-06	4.34E-05	6.56E+00	43	25.69	3.25	28.94	5.2	2.37	7.57	2.39	0.55	1.61	1.06	5.61	1.59	0.46	2.05	0	0	0	0.85	0	0.85	0	0	0	0.14	0	0.14	1.00E+00	3.22E-02	-6.25E-04	-1820.066	5.62E-01	9.78E+02	3.89E+02	-1820.065	5.62E-01	2.54E+00	1.35	16	23429846
HCM5391	"AY414939,AY414940,AY414941"	48	ACO1	Hydratase->Lyase;Dehydratase->Lyase	Tricarboxylic acid pathway->Carbohydrate metabolism	1.66E-03	3.64E-01	1.00E+00	3.64E-01	1.05E-02	1.05E-06	1.00E-04	1.04E-04	6.91E-04	6.64E+00	42	8.24	3.4	11.64	5.68	2.45	8.13	3.39	3.98	0	1.01	8.38	2.51	1.48	3.99	0.07	0	0	0.35	0	0.36	0	0	0	0	0	0	1.00E+00	4.66E-01	-2.01E-02	-3634.735	5.75E-01	9.99E+02	8.39E+01	-3634.715	5.76E-01	1.30E+01	0.53	9	32624679
